Location,Price,Area,price_per_sqft
Sarat Bose Road,2431000.0,5000.0,486.2
C R Avenue,2200000.0,2000.0,1100.0
Kayastopara,2100000.0,1530.0,1372.549019607843
Sodepur Road,2160000.0,1485.0,1454.5454545454545
Newtown AA III,2809000.0,1842.3333333333333,1524.6969422833365
E M Bypass,6438033.266666667,3691.0666666666666,1744.2202615323483
Rabindra Sarovar,2147000.0,1190.0,1804.2016806722688
Belgachia,2952000.0,1584.0,1863.6363636363637
Action Area III,3908700.0,2088.6,1871.4449870726803
Taltala,4500000.0,2178.0,2066.115702479339
Block O,3214666.6666666665,1524.6666666666667,2108.4390030607783
Garia Place,2850000.0,1329.0,2144.4695259593677
Uttar Panchanna Gram,2300000.0,1050.0,2190.4761904761904
Baidyabati,2365000.0,1075.0,2200.0
Bally,3178000.0,1440.0,2206.9444444444443
Gitanjali Park,2900000.0,1250.0,2320.0
Jatin Das Road,4027500.0,1725.0,2334.782608695652
Paikpara,4977000.0,1987.0,2504.781077000503
New Town Action Area I,3800000.0,1500.0,2533.3333333333335
Raja Ram Mohan Roy Road,3171000.0,1232.0,2573.8636363636365
deshbandhu nagar,3150000.0,1220.0,2581.967213114754
Lake Market,5226000.0,2020.0,2587.128712871287
Purbalok Main Road,3349000.0,1255.0,2668.5258964143427
Keyatala,3056000.0,1131.0,2702.0335985853226
Beliaghata,5163142.857142857,1886.857142857143,2736.3718958207146
B T Road,2720000.0,988.0,2753.0364372469635
Anil Maitra Road,9200000.0,3307.0,2781.9776232234653
Bhadreswar,2533200.0,901.2,2810.9187749667108
Behala Thana,3327500.0,1173.0,2836.7433930093775
Hazra,3887500.0,1350.0,2879.6296296296296
Ripon street,2934000.0,1000.0,2934.0
Elgin,7997999.909090909,2718.0,2942.604823065088
Kudgat,3011000.0,1000.0,3011.0
Action Area I Newtown,4152875.0,1358.0,3058.081737849779
Barasat,3057214.285714286,999.3571428571429,3059.1809020084343
Garia Rathtala,3600000.0,1174.0,3066.4395229982965
Banamalipur,3800666.6666666665,1216.0,3125.548245614035
Ballygunge,7004818.1454545455,2235.3818181818183,3133.611487970328
Kustia,4400000.0,1402.0,3138.373751783167
Action Area I,3825000.0,1216.0,3145.559210526316
Kamardanga,3897833.3333333335,1209.5,3222.681548849387
Kankurgachi Main Road,7100000.0,2200.0,3227.2727272727275
Ruby Hosp Main Road,2518500.0,780.0,3228.846153846154
Jodhpur Gardens,2760500.0,850.0,3247.6470588235293
Dhapa,5995000.0,1820.0,3293.956043956044
N S C Bose Road Narendrapur,3773888.888888889,1142.5555555555557,3303.024409219099
Chkravarti Para,3250000.0,974.0,3336.7556468172484
Adarshapally Surjaysen Nagar,3088000.0,912.0,3385.964912280702
Dunlop,4247000.0,1253.3333333333333,3388.563829787234
Topsia,10112697.65116279,2978.6511627906975,3395.0594072547274
Satchashipara,5150000.0,1500.0,3433.3333333333335
Sulekha,2950000.0,850.0,3470.5882352941176
Mali Panchghara,4724500.0,1350.0,3499.6296296296296
New Barrackpur,3500000.0,1000.0,3500.0
Sector IV Salt Lake,2638000.0,750.0,3517.3333333333335
Bhatenda,3454000.0,980.5,3522.6925038245795
Southern Avenue,5718333.333333333,1603.3333333333333,3566.5280665280666
Bally Khal,3264000.0,910.0,3586.813186813187
Gitanjali Metro Station Road,3962500.0,1090.0,3635.321100917431
Sarada Pally,3450000.0,941.0,3666.3124335812963
Parui Mauza,3725000.0,1014.6666666666666,3671.156373193167
Kutighat,4149500.0,1130.0,3672.1238938053098
Botanical Garden Area,3297500.0,888.0,3713.400900900901
Reekjoyoni,3290000.0,881.6666666666666,3731.568998109641
Jodhpur Park,5747133.333333333,1529.6,3757.278591352859
Bangur avenue,3032000.0,799.0,3794.7434292866083
Mission Palli Road,4098999.6666666665,1079.3333333333333,3797.7143298332303
Camac Street,6227000.0,1600.0,3891.875
Ichapur,5594000.0,1420.0,3939.43661971831
Maheshtala,4921133.333333333,1247.6666666666667,3944.2693026983698
New Town Rajarhat,5643000.0,1429.0,3948.9153254023795
Barisha,3521166.6666666665,889.0,3960.8173978252717
south dum dum,4236285.714285715,1063.5714285714287,3983.0758898589656
Boral,3848750.0,962.75,3997.662944689691
Pancha Sayar,8000000.0,1976.0,4048.582995951417
Dakshineswar,4140250.0,1017.875,4067.542674689918
